freq,compensate,fitlevel,logratio
50,1.0000000178486772,0.9999453282779851,2.3752027845362164e-05
1050,1.000007871309901,0.9999533705597836,2.366983374065245e-05
2050,1.0000300042561014,0.9999760348323182,2.3438552172483164e-05
3050,1.0000664180146857,1.000013320124727,2.305920126625044e-05
4050,1.000117114769653,1.0000652248398318,2.2533455822025533e-05
5050,1.000182097561894,1.000131746754208,2.1863647051354815e-05
6050,1.0002613702895986,1.0002128830182775,2.105276221033879e-05
7050,1.000354937708789,1.000308630156433,2.0104444130695504e-05
8050,1.000462805433961,1.0004189840671862,1.9022990646138938e-05
9050,1.0005849799388475,1.0005439400233422,1.781335391879262e-05
10050,1.0007214685572954,1.0006834926722041,1.6481139661355685e-05
11050,1.0008722794842613,1.000837636035801,1.5032606258610835e-05
12050,1.0010374217769247,1.0010063635111437,1.3474663787489603e-05
13050,1.0012169053559157,1.0011896678705092,1.1814872935261777e-05
14050,1.0014107410066644,1.0013875412617488,1.0061443818949483e-05
15050,1.0016189403808669,1.0015999752086249,8.223234704114927e-06
16050,1.0018415159980671,1.0018269606111743,6.3097506233552205e-06
17050,1.0020784812473633,1.0020684877460977,4.331141899047765e-06
18050,1.0023298503892277,1.0023245462671766,2.298202565021233e-06
19050,1.0025956385574502,1.002595125205716,2.2236869375256463e-07
20050,1.0028758617611995,1.0028802129710148,-1.8842833744664258e-06
21050,1.0031705368872075,1.0031797973508625,-4.00903889679609e-06
22050,1.0034796817020735,1.0034938655120607,-6.138546687310267e-06
23050,1.0038033148546894,1.0038224040009749,-8.258821172081816e-06
24050,1.00414145587879,1.0041653987441097,-1.0355244534311953e-05
25050,1.0044941251956228,1.0045228350487116,-1.2412568953209275e-05
26050,1.0048613441167453,1.0048946976033997,-1.4414918932300209e-05
27050,1.0052431348469444,1.005280970478819,-1.634579371707485e-05
28050,1.0056395204872814,1.0056816371283257,-1.8188069801995316e-05
29050,1.0060505250382634,1.0060966803886937,-1.9924003523833844e-05
30050,1.0064761734031402,1.0065260824808515,-2.1535233741515445e-05
31050,1.0069164913913313,1.006969825010642,-2.3002784599433896e-05
32050,1.007371505721978,1.0074278889696127,-2.4307068376537715e-05
33050,1.0078412440276279,1.0079002547358278,-2.5427888414729908e-05
34050,1.0083257348580472,1.0083869020747103,-2.6344442130032476e-05
35050,1.0088250076841656,1.0088878101399077,-2.703532410227305e-05
36050,1.0093390929021537,1.0094029574741856,-2.747852924215773e-05
37050,1.009868021837631,1.0099323220103469,-2.7651456036639292e-05
38050,1.0104118267500122,1.0104758810721766,-2.7530909866661762e-05
39050,1.010970540836985,1.0110336113754137,-2.709310640059063e-05
40050,1.0115441982391276,1.0116054890287485,-2.6313675057782785e-05
41050,1.012132834044662,1.0121914895348452,-2.516766254327673e-05
42050,1.0127364842943458,1.0127915877913924,-2.362953645189881e-05
43050,1.0133551859865062,1.0134057580921787,-2.1673188937781796e-05
44050,1.0139889770822135,1.0140339741281923,-1.9271940450272757e-05
45050,1.014637896510598,1.0146762089887489,-1.6398543533362816e-05
46050,1.0153019841743118,1.0153324351626447,-1.302518668698943e-05
47050,1.015981280955135,1.0160026245393343,-9.12349828862156e-06
48050,1.0166758287197286,1.0166867484101358,-4.664550573838257e-06
49050,1.0173856703255384,1.0173847774694593,3.8113632783792507e-07
50050,1.018110849626845,1.0180966818160628,6.0435903004709935e-06
51050,1.0188514114809686,1.0188224309543341,1.2353383096663584e-05
52050,1.019607401754625,1.019561993795595,1.9341626142004893e-05
53050,1.0203788673304381,1.0203153386594355,2.7039966289008247e-05
